NUMBER,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS,MATCH_QUALITY
117,heavy,1210,HEAVY (adjective),3
,,,,
118,here,136,HERE,2
,,,,
119,"hit, strike (general word)",1433,HIT (verb),3
119,"hit, strike (general word)",353,STRIKE (verb),3
119,"hit, strike (general word)",2133,STRIKE OR BEAT (verb),5
,,,,
121,horn (of animal),1393,HORN (ANATOMY) (noun),3
,,,,
122,"hot (object, water)",1286,HOT (adjective),3
,,,,
123,house,1252,HOUSE (noun),3
,,,,
124,"how much?, how many?",531,HOW MUCH,2
124,"how much?, how many?",822,HOW MANY,2
,,,,
125,how?,1239,HOW,2
,,,,
126,hunt (verb only),1435,HUNT (verb),2
,,,,
127,husband,1200,HUSBAND (noun),3
,,,,
128,if... (indicate if not clause-final),0,???,!
,,,,
129,in front of (sth),1883,IN FRONT OF,2
,,,,
130,inside ...,1606,INSIDE,5
,,,,
131,intestines (big and small),1991,INTESTINES (noun),3
,,,,
132,kill,1417,KILL (verb),3
,,,,
133,knee,1371,KNEE (noun),3
,,,,
134,laugh (verb only),1355,LAUGH (verb),2
,,,,
136,leaf (of plant),628,LEAF (noun),3
,,,,
137,"left (hand, etc.)",244,LEFT (adjective),3
,,,,
138,leg,1297,LEG (noun),3
,,,,
139,leg/foot,2098,FOOT OR LEG (noun),5
,,,,
140,"lie down, go to bed",215,LIE DOWN (verb),3
,,,,
141,"like, similar to",1558,SIMILAR (adjective),5
,,,,
142,liver,1224,LIVER (noun),3
,,,,
144,long (e.g. rope),1203,LONG (adjective),3
,,,,
145,"make (wage) war, fight a war",???,???,!
,,,,
146,"man, male person",1554,MAN (noun),3
146,"man, male person",2106,MALE PERSON (noun),3
,,,,
147,"many, numerous",1198,MANY,2
,,,,
148,meat,634,MEAT (noun),3
,,,,
149,millet,931,MILLET (noun),3
,,,,
150,moon,1313,MOON (noun),3
,,,,
151,mother,1216,MOTHER (noun),3
,,,,
152,mouth,674,MOUTH (noun),3
,,,,
153,name,1405,NAME (noun),3
,,,,
154,"narrow (passageway, road)",1267,NARROW (adjective),3
,,,,
155,navel,1838,NAVEL (noun),3
,,,,
156,"near, close",1942,NEAR (adjective),3
,,,,
157,neck,1333,NECK (noun),3
,,,,
158,new,1231,NEW (adjective),3
,,,,
159,night,1233,NIGHT (noun),3
,,,,
160,nine,1483,NINE,2
,,,,
161,nose,1221,NOSE (noun),3
,,,,
162,"not be (copula, with noun)",???,???,!
,,,,
163,"oil (vegetable, liquid or buttery)",1484,OIL (ORGANIC SUBSTANCE) (noun),3
,,,,
164,okra,1737,OKRA (noun),3
,,,,
166,"old (thing, animal)",2112,OLD (AGED),2
,,,,
167,one,1493,ONE,2
,,,,
168,one (in counting),1493,ONE,2
,,,,
169,onion,2366,ONION (noun),3
,,,,
170,only,1580,ONLY,2
,,,,
171,peanut,2364,PEANUT (noun),3
,,,,
172,"person, human being",683,PERSON (noun),3
,,,,
173,personal name,1405,???,8
,,,,
174,"place, location",723,PLACE (POSITION) (noun),3
,,,,
175,"pond, pool (any size)",2035,POND (noun),3
,,,,
176,pull (sth),1455,PULL (verb),3
,,,,
177,push,1452,PUSH (verb),3
,,,,
178,rain,1253,RAIN (RAINING) (verb),3
,,,,
179,rain (noun),658,RAIN (PRECIPITATION) (noun),2
,,,,
180,"reciprocally, each other (more than two humans)",???,???,!
,,,,
182,red (including brown and orange),156,RED (adjective),3
,,,,
183,rice,926,RICE (noun),3
,,,,
184,"right (hand, etc.)",1019,RIGHT (adjective),3
,,,,
185,"road, path",2457,PATH OR ROAD (noun),5
,,,,
186,root,670,ROOT (noun),3
,,,,
188,"rope, cord",1218,ROPE (noun),3
,,,,
189,rotten (adjective),1728,ROTTEN (adjective),2
,,,,
190,run,1519,RUN (verb),3
,,,,
191,salt,1274,SALT (noun),3
,,,,
193,"sand, sandy soil",671,SAND (noun),3
,,,,
194,say,1458,SAY (verb),3
,,,,
195,"scratch (sth, e.g. one's arm)",1436,SCRATCH (verb),3
,,,,
196,second (ordinal),1384,SECOND,2
,,,,
197,see,1409,SEE (verb),3
,,,,
198,seven,1704,SEVEN,2
,,,,
199,sew (with needle),1457,SEW (verb),3
,,,,
200,"shade, shadows",1388,SHADE (noun),3
200,"shade, shadows",2275,SHADOW (noun),3
,,,,
202,sharp (blade),1396,SHARP (adjective),3
,,,,
203,sheep,1331,SHEEP (noun),3
,,,,
204,short,1645,SHORT (adjective),3
,,,,
205,sing a song,2059,FOLK SONG (noun),5
,,,,
206,"sit, sit down",1649,SIT DOWN (verb),3
,,,,
207,six,1703,SIX,2
,,,,
208,skin,763,SKIN (noun),3
,,,,
210,sky,1732,SKY (noun),3
,,,,
212,small calabash with protrusions on side (for milk),???,???,!
,,,,
213,"small, little",1246,SMALL (adjective),3
,,,,
214,smoke,778,SMOKE (EXHAUST) (noun),3
214,smoke,1689,SMOKE (INHALE) (verb),3
,,,,
215,"smooth, sleek (adjective)",1234,SMOOTH (adjective),3
,,,,
216,soil,1015,SOIL (verb),3
,,,,
217,spit (verb only),1440,SPIT (verb),2
,,,,
218,"staff, stick (general word)",1295,STICK (noun),3
,,,,
219,stand (verb only),1442,STAND (verb),2
,,,,
220,star,1430,STAR (noun),3
,,,,
221,"stem, stalk",???,???,!
,,,,
222,"stone, rock",2125,STONE OR ROCK (noun),5
,,,,
224,"stream, small river",947,STREAM (noun),3
,,,,
225,"stroll, take (a walk) (verb only)",???,???,!
,,,,
226,suck (e.g. candy),1421,SUCK (verb),3
,,,,
227,sugar cane,146,SUGAR CANE (noun),3
,,,,
228,sun,1343,SUN (noun),3
,,,,
230,sweet potato,159,SWEET POTATO (noun),3
,,,,
231,sweet sorghum (stalk chewed like sugar cane),347,SORGHUM (noun),5
,,,,
232,"sweet, sugary (taste)",717,SWEET (adjective),3
,,,,
233,"swim, go swimming",1439,SWIM (verb),3
,,,,
235,"tail (of dog, sheep, etc.)",1220,TAIL (noun),3
,,,,
236,"take a stroll, walk around",???,???,!
,,,,
237,ten,1515,TEN,2
,,,,
238,"the bush, outback (away from settlements)",???,???,!
,,,,
240,"thigh, upper leg (of person)",800,THIGH (noun),3
,,,,
241,"thin (linear object, e.g. pole)",2308,THIN (adjective),3
,,,,
242,thing (general term),738,THING (noun),3
,,,,
243,thousand,1843,THOUSAND,2
,,,,
244,three,492,THREE,2
,,,,
245,throw (e.g. stone),1456,THROW (verb),3
,,,,
246,"tie, tie up (sth or sb, with a rope)",1917,TIE (verb),3
,,,,
247,"time, moment in time",892,TIME (noun),3
,,,,
249,to blow,176,BLOW (WITH MOUTH) (verb),2
,,,,
253,to crush/grind,1520,CRUSH (verb),2
253,to crush/grind,1033,GRIND (verb),2
,,,,
254,to cry/weep,1839,CRY (verb),2
,,,,
264,to know,2248,KNOW (SOMEBODY) (verb),2
264,to know,1410,KNOW (SOMETHING) (verb),2
,,,,
272,tongue,1205,TONGUE (noun),3
,,,,
273,tooth,1380,TOOTH (noun),3
,,,,
274,tree bark,1204,BARK (noun),5
,,,,
275,tree or large woody shrub,906,TREE (noun),3
275,tree or large woody shrub,751,SHRUB (noun),5
,,,,
276,two,1498,TWO,2
,,,,
277,under (sth),???,???,!
