(quotative particle: indicate if not clause-final)
(sth) not exist, there is/are not
African eggplant (similar to tomato) in two varieties
also, too
blow one's nose
cow-pea
cultivated sesame (Sesamum indicum)
fonio (cultivated grain, Digitaria exilis)
have fun (verb only)
if... (indicate if not clause-final)
not be (copula, with noun)
reciprocally, each other (more than two humans)
small calabash with protrusions on side (for milk)
stem, stalk
stroll, take (a walk) (verb only)
take a stroll, walk around
the bush, outback (away from settlements)
weaver
