ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	VARIANTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
3040	earth (as brick mix or to repair walls)	Ben_Tey	lěw	l e ˩˥ w		5 7 0 6	AXBC	LE0W	3	3.L.C 3.E.V 3.0.C 3.W.C	2.0 1.5 1.75 1.5	le˩˥w	0	392	l e ˩˥ w
3041	earth (as brick mix or to repair walls)	Bunoge	bɔ̀gɔ̀	b ɔ ˨ ɡ ɔ ˨		1 7 8 1 7 8	AXTBYT	PU6KU6	4	4.P.C 4.U.V 4.6.T 4.K.C 4.U.V 4.6.T	1.6 3.0 1.0 1.3 3.0 1.0	bɔ˨ɡɔ˨	0	385	b ɔ ˨ ɡ ɔ ˨
3042	earth (as brick mix or to repair walls)	Gourou	lègú	l e ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LE6KY6	7	7.L.C 7.E.V 7.6.T 7.K.C 7.Y.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0	le˨ɡu˦	0	384	l e ˨ ɡ u ˦
3043	earth (as brick mix or to repair walls)	Jamsay_Douentza	lègú	l e ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LE6KY6	8	8.L.C 8.E.V 8.6.T 8.K.C 8.Y.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	le˨ɡu˦	0	384	l e ˨ ɡ u ˦
3045	earth (as brick mix or to repair walls)	Mombo	ɔ́gɔ́	ɔ ˦ ɡ ɔ ˦		7 8 1 7 8	XTBYT	U6KU6	9	9.U.V 9.6.T 9.K.C 9.U.V 9.6.T	3.0 1.0 1.3 3.0 1.0	ɔ˦ɡɔ˦	0	385	- ɔ ˦ ɡ ɔ ˦
3046	earth (as brick mix or to repair walls)	Najamba	ǹjâ:	n ˨ dʒ aː ˥˩	n ˨ dʒ ɛː ˥˩	4 8 1 7 8	ATBYT	N6TA6	10	10.N.C 10.6.T 10.T.C 10.A.V 10.6.T	1.6 1.0 1.3 3.0 1.0	n˨dʒaː˥˩	0	389	n ˨ dʒ aː ˥˩
3048	earth (as brick mix or to repair walls)	Nanga	lègí	l e ˨ ɡ i ˦		5 7 8 1 7 8	AXTBYT	LE6KI6	11	11.L.C 11.E.V 11.6.T 11.K.C 11.I.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	le˨ɡi˦	0	384	l e ˨ ɡ i ˦
3049	earth (as brick mix or to repair walls)	Penange	ɔ̀gɔ́	ɔ ˨ ɡ ɔ ˦		7 8 1 7 8	XTBYT	U6KU6	12	12.U.V 12.6.T 12.K.C 12.U.V 12.6.T	3.0 1.0 1.3 3.0 1.0	ɔ˨ɡɔ˦	0	385	- ɔ ˨ ɡ ɔ ˦
3050	earth (as brick mix or to repair walls)	Perge_Tegu	lègú	l e ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LE6KY6	13	13.L.C 13.E.V 13.6.T 13.K.C 13.Y.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0	le˨ɡu˦	0	384	l e ˨ ɡ u ˦
3053	earth (as brick mix or to repair walls)	Tebul_Ure	lègú	l e ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LE6KY6	14	14.L.C 14.E.V 14.6.T 14.K.C 14.Y.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0	le˨ɡu˦	0	384	l e ˨ ɡ u ˦
3054	earth (as brick mix or to repair walls)	Tiranige	ɔ̀gɔ̀	ɔ ˨ ɡ ɔ ˨		7 8 1 7 8	XTBYT	U6KU6	15	15.U.V 15.6.T 15.K.C 15.U.V 15.6.T	3.0 1.0 1.3 3.0 1.0	ɔ˨ɡɔ˨	0	385	- ɔ ˨ ɡ ɔ ˨
3055	earth (as brick mix or to repair walls)	Togo_Kan	òsóró	o ˨ s o ˦ r o ˦		7 8 3 7 8 5 7 8	XTBYTBYT	U6SU6RU6	16	16.U.V 16.6.T 16.S.C 16.U.V 16.6.T 16.R.C 16.U.V 16.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	o˨so˦ro˦	0	388	o ˨ s o ˦ r o ˦
3056	earth (as brick mix or to repair walls)	Tommo_So	ùnjúm	u ˨ n dʒ u ˦ m		7 8 4 1 7 8 4	XTMBYTN	Y6NTY6M	17	17.Y.V 17.6.T 17.N.c 17.T.C 17.Y.V 17.6.T 17.M.c	3.0 1.0 1.1 1.3 3.0 1.0 0.5	u˨ndʒu˦m	0	387	u ˨ n dʒ u ˦ m
3057	earth (as brick mix or to repair walls)	Toro_Tegu	lɔ̀gú	l ɔ ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LU6KY6	18	18.L.C 18.U.V 18.6.T 18.K.C 18.Y.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0	lɔ˨ɡu˦	0	384	l ɔ ˨ ɡ u ˦
3058	earth (as brick mix or to repair walls)	Yanda_Dom	pɔ̀ndɔ̀	p ɔ ˨ n d ɔ ˨	u ˨ ɲ u ˨ m a ˨	1 7 8 4 1 7 8	AXTMBYT	PU6NTU6	19	19.P.C 19.U.V 19.6.T 19.N.c 19.T.C 19.U.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	pɔ˨ndɔ˨	0	386	p ɔ ˨ n d ɔ ˨
3060	earth (as brick mix or to repair walls)	Yorno_So	làgú	l a ˨ ɡ u ˦		5 7 8 1 7 8	AXTBYT	LA6KY6	20	20.L.C 20.A.V 20.6.T 20.K.C 20.Y.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0	la˨ɡu˦	0	384	l a ˨ ɡ u ˦
3061	earth (as brick mix or to repair walls)	Dogul_Dom	ɲùmɛ́	ɲ u ˨ m ɛ ˦	p ɔ ˦ n d u ˨	4 7 8 4 7 8	AXTBYT	NY6ME6	5	5.N.C 5.Y.V 5.6.T 5.M.C 5.E.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0	ɲu˨mɛ˦	0	391	ɲ u ˨ m ɛ ˦
3063	earth (as brick mix or to repair walls)	Donno_So	ímnì	i ˦ m n i ˨		7 8 4 4 7 8	XTMBYT	I6MNI6	6	6.I.V 6.6.T 6.M.c 6.N.C 6.I.V 6.6.T	3.0 1.0 1.1 1.3 3.0 1.0	i˦mni˨	0	390	i ˦ m n i ˨
3064	easy (work)	Bangime	bé kíjù	b e ˦ # k i ˦ dʒ u ˨		1 7 8 9 1 7 8 1 7 8	AXT_AXTBYT	PE6_KI6TY6	1	1.P.C 1.E.V 1.6.T 1._._ 1.K.C 1.I.V 1.6.T 1.T.C 1.Y.V 1.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	be˦#ki˦dʒu˨	0	403	b e ˦ # k i ˦ dʒ u ˨
3065	easy (work)	Bankan_Tey	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	2	2.N.C 2.A.V 2.6.T 2.R.C 2.A.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3066	easy (work)	Ben_Tey	nà:rⁿâ:	n aː ˨ r̃ aː ˥˩		4 7 8 5 7 8	AXTBYT	NA6RA6	3	3.N.C 3.A.V 3.6.T 3.R.C 3.A.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃aː˥˩	0	395	n aː ˨ r̃ aː ˥˩
3067	easy (work)	Bunoge	kájjà ʔórìgà	k a ˦ dʒ dʒ a ˨ # ʔ o ˦ r i ˨ ɡ a ˨		1 7 8 1 1 7 8 9 1 7 8 5 7 8 1 7 8	AXTMBYT_AXTBYTBYT	KA6TTA6_HU6RI6KA6	4	4.K.C 4.A.V 4.6.T 4.T.c 4.T.C 4.A.V 4.6.T 4._._ 4.H.C 4.U.V 4.6.T 4.R.C 4.I.V 4.6.T 4.K.C 4.A.V 4.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ka˦dʒdʒa˨#ʔo˦ri˨ɡa˨	0	402	k a ˦ dʒ dʒ a ˨ # ʔ o ˦ r i ˨ ɡ a ˨
3068	easy (work)	Dogul_Dom	bállà	b a ˦ l l a ˨		1 7 8 5 5 7 8	AXTMBYT	PA6LLA6	5	5.P.C 5.A.V 5.6.T 5.L.c 5.L.C 5.A.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ba˦lla˨	0	401	b a ˦ l l a ˨
3069	easy (work)	Jamsay_Douentza	nà:rⁿá	n aː ˨ r̃ a ˦		4 7 8 5 7 8	AXTBYT	NA6RA6	8	8.N.C 8.A.V 8.6.T 8.R.C 8.A.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	naː˨r̃a˦	0	395	n aː ˨ r̃ a ˦
3070	easy (work)	Mombo	bérù	b e ˦ r u ˨		1 7 8 5 7 8	AXTBYT	PE6RY6	9	9.P.C 9.E.V 9.6.T 9.R.C 9.Y.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0	be˦ru˨	0	396	b e ˦ r u ˨
